"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sweden","","","115440.0","115200.0","8673029.67","358139.550066276","0.0","0.0"
"2017","01","3052 505","52094200","--Denim","Turkey","","","126902.0","125429.0","8482135.54","350256.867724606","0.0","0.0"
"2017","01","3052 505","85171200","-- Telephone for cellular networks or for other wireless networks","Togo","48600.0","UN","7246.87","6565.67","8275594.79","341728.08204188","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Netherlands","","","531070.0","530000.0","8050650.87","332439.365484434","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Saudi Arabia","","","323580.87","322935.0","7821694.73","322984.970413224","0.0","0.0"
"2017","01","3052 505","64032000","-SANDLES, WITH LEATHER SOLES AND STRAPS (OVER INSTEP, AROUND BIG TOE)","United States","44118.0","2UN","41618.0","23051.0","7766609.0","320710.289095632","0.0","0.0"
"2017","01","1071 100","07139000","Dried leguminous vegetables, shelled, nes","Viet Nam","","","360720.0","360000.0","7668471.12","316657.834817834","0.0","0.0"
"2017","01","1000 100","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","8234252.0","UN","38184.0","33852.0","7552037.82","311849.899037449","0.0","0.0"
"2017","01","1000 100","19059020","---Fresh Injera","United States","","","159401.0","148305.0","7438797.53","307173.813741643","0.0","0.0"
"2017","01","1071 100","25231000","-Cement clinkers","Djibouti","","","4086720.0","4086720.0","7411090.62","306029.699094434","0.0","0.0"
"2017","01","1000 100","64051000","-FOOTWEAR, NES, WITH LEATHER OR COMPOSITION LEATHER UPPERS","Kenya","58080.0","2UN","41700.0","40600.0","7355490.42","303733.773521797","0.0","0.0"
"2017","01","3052 505","25232900","--other","Djibouti","","","3015000.0","3000000.0","7286958.94","300903.870437587","0.0","0.0"
"2017","01","1000 100","07129090","---Other vegetables","Israel","","","10686.0","9087.7","7212968.95","297848.56649695","0.0","0.0"
"2017","01","1071 100","06031100","--Roses","Norway","","","90073.0","79264.24","7206055.45","297563.084044613","0.0","0.0"
"2017","01","1000 100","71031000","-Unworked or simply sawn or roughly shaped","Hong Kong","","","62.52","48.77","7051860.22","291195.826881228","0.0","0.0"
"2017","01","3052 505","63029900","Toilet linen and kitchen linen of other textiles, nes","Turkey","","","70699.01","69623.01","6451348.1","266398.593544178","0.0","0.0"
"2017","01","1000 100","71031000","-Unworked or simply sawn or roughly shaped","United States","","","83.53","74.98","6408058.37","264611.010079738","0.0","0.0"
"2017","01","1000 100","19059020","---Fresh Injera","United Arab Emirates","","","191640.0","180463.0","6239585.83","257654.193146109","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Canada","3369450.0","UN","15966.0","11985.0","6227254.04","257144.970660985","0.0","0.0"
"2017","01","1000 100","12019000","-OTHER","Viet Nam","","","661320.0","660000.0","6142206.18","253633.048821278","0.0","0.0"
"2017","01","1000 505","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","Italy","","","22812.0","22205.0","5968350.82","246453.956534486","0.0","0.0"
"2017","01","3052 505","61109000","-JERSEYS, PULLOVERS, ETC, OF OTHER TEXTILES,NES, KNITTED OR CROCHETED","United States","1146522.0","UN","66437.2","53038.1","5853278.47","241702.219111447","0.0","0.0"
"2017","01","3052 505","54071090","---other","Kenya","","","49983.5","46976.5","5841668.72","241222.812168362","0.0","0.0"
"2017","01","1000 100","26159000","-other","China","","","5140.0","5000.0","5743514.34","237169.676548196","0.0","0.0"
"2017","01","1000 100","71031000","-Unworked or simply sawn or roughly shaped","India","","","47.98","41.02","5538010.07","228683.690728376","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","El Salvador","","","360720.0","360000.0","5313695.39","219420.957678316","0.0","0.0"
"2017","01","1000 100","64029900","--Other","United States","24443.0","2UN","21570.0","12663.0","5172248.45","213580.12173317","0.0","0.0"
"2017","01","1000 100","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","Hong Kong","","","13890.5","13743.5","5144131.7","212419.0833674","0.0","0.0"
"2017","01","1071 100","01061300","--CAMELS & OTHER CAMELIDS (CAMELIDAE)","Saudi Arabia","504.0","UN","148815.0","148815.0","5039669.47","208105.474689163","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Taiwan, Province of China","","","57120.0","56400.0","5022077.89","207379.057187336","0.0","0.0"
"2017","01","1071 100","12079990","--OTHER","United States","","","234468.0","234000.0","4997381.21","206359.245403004","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","France","3391600.0","UN","18456.0","13842.0","4958674.2","204760.898380883","0.0","0.0"
"2017","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Thailand","","","3305.0","3175.0","4951285.46","204455.791616598","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","United Arab Emirates","","","240480.0","240000.0","4826073.23","199285.34329332","0.0","0.0"
"2017","01","1000 100","07129090","---Other vegetables","India","","","7134.5","6064.37","4815480.02","198847.912821212","0.0","0.0"
"2017","01","1000 100","01022910","---OX","Somalia","353.0","UN","119870.0","119870.0","4806469.97","198475.856529944","0.0","0.0"
"2017","01","3052 505","62034300","--MEN'S OR BOYS' TROUSERS, BREECHES OF SYNTHETIC FIBRES","Germany","12334.0","UN","4414.83","3964.47","4716345.19","194754.291011649","0.0","0.0"
"2017","01","1000 100","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","China","","","23496.36","23229.68","4699706.22","194067.210088822","0.0","0.0"
"2017","01","1000 100","61091000","-T-SHIRTS, SINGLETS AND OTHER VESTS, OF COTTON, KNITTED OR CROCHETED","United States","143000.0","UN","16411.56","14606.8","4595762.83","189775.026118124","0.0","0.0"
"2017","01","1000 100","09024000","BLACK TEA FERMENTED/PARTLY FERMENTED,FLAVOURED OR NOT,IN PACKINGS OF >=3KG","Pakistan","","","101914.0","100600.0","4545049.71","187680.905070426","0.0","0.0"
"2017","01","1071 100","06031100","--Roses","United Arab Emirates","","","58553.0","51431.05","4525294.48","186865.14293737","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Slovenia","","","38880.0","38400.0","4514812.43","186432.302648151","0.0","0.0"
"2017","01","3052 506","62034300","--MEN'S OR BOYS' TROUSERS, BREECHES OF SYNTHETIC FIBRES","United States","23355.0","UN","22708.89","20167.91","4477565.82","184894.26061965","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Greece","","","76800.0","76800.0","4377609.43","180766.71374123","0.0","0.0"
"2017","01","1000 100","12101000","Hop cones (excl. ground, powdered or pellets), fresh or dried","Sudan","","","130310.0","129920.0","4309899.02","177970.715492074","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Somalia","","","376500.0","375000.0","4243976.28","175248.536352712","0.0","0.0"
"2017","01","1000 100","02042100","Fresh or chilled sheep carcasses and half carcasses (excl. lamb)","Saudi Arabia","","","34169.0","33604.25","4230123.19","174676.494101227","0.0","0.0"
