"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)"
"2018","01","3052 505","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Thailand","","","7116.0","6846.0","13989939.64","508919.392495316"
"2018","01","1000 100","12019000","-OTHER","China","","","1190376.0","1188000.0","13895166.51","505471.780498008"
"2018","01","1000 100","07133100","Dried beans, shelled","Viet Nam","","","601200.0","600000.0","13786396.8","501515.007548337"
"2018","01","1000 101","10089010","--- teff","Israel","","","360770.16","359906.4","13354096.48","485788.991433093"
"2018","01","1000 100","12074090","--OTHER","Iran, Islamic Republic of","","","380760.0","380000.0","13159195.56","478698.978155296"
"2018","01","1000 100","12074090","--OTHER","Mexico","","","380760.0","380000.0","12689480.44","461611.904181597"
"2018","01","1000 100","02011000","Fresh or chilled bovine carcasses and half carcasses","United Arab Emirates","","","138295.0","134998.25","12642345.93","459897.26732025"
"2018","01","1000 100","12019000","-OTHER","Pakistan","","","1168330.0","1166000.0","12546872.3","456424.172866003"
"2018","01","1000 100","71031000","-Unworked or simply sawn or roughly shaped","India","","","295.89","256.82","12145920.36","441838.533258153"
"2018","01","1071 100","12074090","--OTHER","Turkey","","","340179.0","339500.0","12129930.99","441256.879535823"
"2018","01","3052 505","61112000","-Babies' garments, etc, of cotton, knitted or crocheted","United States","1791492.0","UN","117445.1","98663.96","11784707.42","428698.500154604"
"2018","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","France","","","194400.0","192000.0","11752886.2","427540.922897834"
"2018","01","1000 100","07129090","---Other vegetables","Israel","","","13861.67","11782.49","11334129.84","412307.602539151"
"2018","01","1000 100","19059020","---Fresh Injera","United States","","","190922.0","174930.0","10753606.36","391189.594572473"
"2018","01","1000 100","12019000","-OTHER","Canada","","","840100.0","840000.0","10534865.24","383232.333800178"
"2018","01","1000 100","25231000","-Cement clinkers","Djibouti","","","6338940.0","6338940.0","10479505.58","381218.486331145"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Australia","","","91725.45","90550.0","10365818.1","377082.817075611"
"2018","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","United Arab Emirates","","","481200.0","480000.0","10105308.18","367606.110696812"
"2018","01","1071 100","07020000","Tomatoes fresh or chilled","Somalia","","","1223577.0","1024167.0","9956113.98","362178.794812565"
"2018","01","3052 506","62034200","--MEN'S OR BOYS' TROUSERS, BREECHES, ETC, OF COTTON","United States","320714.0","UN","54197.06","46656.75","9933413.28","361352.999508903"
"2018","01","1071 100","17031000","Cane molasses resulting from the extraction or refining of sugar","Djibouti","","","1840000.0","1840000.0","9692794.46","352599.882136816"
"2018","01","1000 100","26100000","Chromium ores and concentrates","China","","","1370000.0","1370000.0","9008833.46","327719.073100638"
"2018","01","1071 100","06031100","--Roses","Norway","","","91938.0","79729.32","8788818.69","319715.480092399"
"2018","01","1000 100","71031000","-Unworked or simply sawn or roughly shaped","United States","","","450.49","412.16","8767554.15","318941.928736427"
"2018","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Turkey","","","480960.0","480000.0","8691198.3","316164.291820513"
"2018","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Belgium","6260745.0","UN","14681.0","13444.0","8447543.25","307300.723912767"
"2018","01","1000 100","25232900","--other","Djibouti","","","2923700.0","2913341.0","8246252.96","299978.281161898"
"2018","01","1000 100","12074090","--OTHER","United States","","","146940.0","146000.0","8234467.64","299549.560377599"
"2018","01","3052 505","61013000","-MEN'S OR BOYS' COATS, ETC, OF MAN-MADE FIBRES, KNITTED OR CROCHETED","United States","30019.0","UN","19754.95","17638.36","8199762.99","298287.091071136"
"2018","01","1000 100","19059020","---Fresh Injera","United Arab Emirates","","","217537.0","205031.68","8065853.11","293415.780934539"
"2018","01","3052 505","64029900","--Other","United States","22958.0","2UN","20810.7","11497.78","8003364.78","291142.610087488"
"2018","01","1000 100","13019000","NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)","Bulgaria","","","101335.0","100000.0","7986533.54","290530.331217374"
"2018","01","1000 100","64051000","-FOOTWEAR, NES, WITH LEATHER OR COMPOSITION LEATHER UPPERS","Kenya","55638.0","2UN","37447.0","36245.5","7744737.47","281734.388402845"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sweden","","","42000.0","42000.0","7635577.86","277763.431855799"
"2018","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Canada","3231625.0","UN","15549.0","11652.0","7445060.01","270832.863820732"
"2018","01","1071 100","06031900","--Other cut flowers","Japan","","","51346.0","45166.8","7270996.06","264500.84796013"
"2018","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","United Kingdom","","","320960.0","320000.0","7131285.19","259418.512159188"
"2018","01","1000 100","12074090","--OTHER","Netherlands","","","186516.0","186000.0","7084456.46","257714.99881773"
"2018","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","France","3527000.0","UN","18360.0","13770.0","7036729.94","255978.826097237"
"2018","01","3052 505","64032000","-SANDLES, WITH LEATHER SOLES AND STRAPS (OVER INSTEP, AROUND BIG TOE)","United States","23991.0","2UN","21688.0","13514.0","6913110.34","251481.850888521"
"2018","01","1000 100","61091000","-T-SHIRTS, SINGLETS AND OTHER VESTS, OF COTTON, KNITTED OR CROCHETED","Netherlands","153800.0","UN","30760.0","26915.0","6833118.69","248571.952563706"
"2018","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Germany","","","391782.0","391000.0","6781504.52","246694.356754397"
"2018","01","1000 101","52051200","UNCOMBED SINGLE COTTON YARN, WITH >=85% COTTON, NPRS, >14MN BUT <=43MN","China","","","109321.5","106316.8","6770030.36","246276.955201077"
"2018","01","1000 100","09041100","Dried pepper (excl. crushed or ground)","Sudan","","","123099.0","122770.0","6747512.76","245457.820622419"
"2018","01","1000 100","12089000","Other flours and meal of oil seeds or oleaginous fruit, nes","Singapore","","","190380.0","190000.0","6685057.28","243185.844777097"
"2018","01","1000 100","12074090","--OTHER","India","","","190380.0","190000.0","6526405.0","237414.467342076"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","South Africa","","","38990.71","38490.0","6453831.42","234774.420051292"
"2018","01","1000 100","08101000","Strawberries, fresh","Saudi Arabia","","","80330.62","56522.6","6240164.64","227001.7512141"
"2018","01","3052 506","61099000","-T-SHIRTS, SINGLETS, ETC, OF OTHER TEXTILES, NES, KNITTED OR CROCHETED","United States","253476.0","UN","52710.3","46192.25","6228988.23","226595.181069135"
"2018","01","3052 506","62052000","MEN'S OR BOYS' SHIRTS OF COTTON.","United States","42311.0","UN","15112.64","12073.35","6097176.75","221800.205533022"
"2018","01","3052 506","61071100","--MEN'S OR BOYS' UNDERPANTS AND BRIEFS OF COTTON, KNITTED OR CROCHETED","Germany","95433.0","UN","18964.69","17285.42","5988992.16","217864.717801342"
